data_number,chemical_formula,tc_kelvin,quality_tier,quality_score,quality_badges
156379,La1Fe1P0.6As0.4F0.1O0.9,20.86,tier1_strict,5,"Tier1, StableFormula, Modern"
156380,La1Fe1P0.6As0.6F0.1O0.9,26.9,tier1_strict,5,"Tier1, StableFormula, Modern"
156381,La1Fe1P0.6As0.8F0.1O0.9,25.3,tier1_strict,5,"Tier1, StableFormula, Modern"
156388,Bi3.925Co0.075S3O4,4.3775,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156389,Bi3.9Co0.1S3O4,5.215,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156390,Bi3.875Co0.125S3O4,4.433333333333334,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156391,Bi3.85Co0.15S3O4,3.9625,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156399,Ta1Ir1Si1,0.5,tier1_strict,5,"Tier1, StableFormula, Modern"
156400,Nb1Pt1Si1,1.24,tier1_strict,5,"Tier1, StableFormula, Modern"
156409,Ce0.98Yb0.02Co1In5,1.89,tier1_strict,5,"Tier1, StableFormula, Modern"
156412,Ce0.85Yb0.15Co1In5,1.19,tier1_strict,5,"Tier1, StableFormula, Modern"
156413,Ce0.8Yb0.2Co1In5,1.42,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156415,Sn0.7In0.3Te1,3.595,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156417,Sn0.55In0.45Te1,4.46,tier1_strict,5,"Tier1, StableFormula, Modern"
156423,La1Fe0.99975Mn0.00025As1F0.11O0.89,23.8,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156424,La1Fe0.99925Mn0.00075As1F0.11O0.89,15.35,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156438,Sb2Te3,6.1775,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156442,Cs2Cr3As3,2.0500000000000003,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156444,Nd1Bi0.99Pb0.01S2F0.3O0.7,4.85,tier1_strict,5,"Tier1, StableFormula, Modern"
