feature,f_score,mi_score,rf_importance,f_score_norm,mi_score_norm,rf_importance_norm,composite_score
MagpieData avg_dev NsValence,1943.3843745087854,0.496425775821808,0.0006642202674354249,0.1437728009996873,0.5800969961358273,0.0006642202674354249,0.24151133913431666
MagpieData mean Number,1865.4961859340413,0.4909628075253387,0.002433044175103189,0.13800778066787361,0.573713259325383,0.002433044175103189,0.23805136138945324
MagpieData mode SpaceGroupNumber,2265.13474785099,0.46272554080584394,0.0016383812057858599,0.16758767560428076,0.5407166777599953,0.0016383812057858599,0.23664757819002066
MagpieData mean AtomicWeight,1788.5847720157112,0.486855513967547,0.0077272490986715955,0.13231505789306913,0.5689136925599814,0.0077272490986715955,0.23631866651724073
MagpieData minimum NValence,2429.5328695873563,0.4517422156893467,4.061184408094845e-05,0.17975586864696055,0.5278821429352963,4.061184408094845e-05,0.23589287447544596
MagpieData mean NsUnfilled,250.05051553207792,0.5509123433662957,0.044204681038985866,0.01843795493145164,0.6437671271035124,0.044204681038985866,0.23546992102464995
MagpieData maximum AtomicWeight,449.7245929209339,0.5510044066045587,0.00032157138333505824,0.03321715492245205,0.6438747073512997,0.00032157138333505824,0.2258044778856956
MagpieData maximum Number,434.19671613871304,0.5515514351648072,0.00039211133746612145,0.032067833992058405,0.6445139360941572,0.00039211133746612145,0.22565796047456055
MagpieData maximum Column,3058.6370620851835,0.3778657723530392,4.496217450803495e-05,0.2263200335986055,0.44155402511416686,4.496217450803495e-05,0.22263967362909345
avg s valence electrons,26.031609008329973,0.5556866168621966,0.0007442655751226107,0.0018568330122952117,0.6493460914695712,0.0007442655751226107,0.21731573001899637
MagpieData mean MendeleevNumber,65.07119523283946,0.5503329188409998,0.0016668824027155852,0.004746411168473695,0.643090042143419,0.0016668824027155852,0.21650111190486945
MagpieData mean NsValence,26.031609008329973,0.5517688456755394,0.0006216691058291111,0.0018568330122952117,0.6447679905577783,0.0006216691058291111,0.21574883089196753
MagpieData avg_dev NdUnfilled,1706.5941262663039,0.42509335913022994,0.0018504860103162929,0.12624638755404502,0.49674169376178856,0.0018504860103162929,0.20827952244204997
MagpieData mode NUnfilled,3202.747341493636,0.330648237393802,0.0003339886229322534,0.23698658915748616,0.3863781024911969,0.0003339886229322534,0.20789956009053842
MagpieData mode NValence,289.16610729812584,0.5137350359109756,0.00010555839523082006,0.021333158760794665,0.6003236851437408,0.00010555839523082006,0.2072541340999221
MagpieData mode Column,1450.3768260403294,0.4268239254848485,0.00012163906509134111,0.10728204941505126,0.4987639423895236,0.00012163906509134111,0.20205587695655539
MagpieData range NValence,1536.3018928870927,0.4206823905801502,0.0006060356336538669,0.11364193229907388,0.49158726840642725,0.0006060356336538669,0.20194507877971835
MagpieData avg_dev MeltingT,164.39023878133796,0.5036672883732516,0.0036450163058681837,0.012097670914923189,0.5885590460195549,0.0036450163058681837,0.20143391108011544
MagpieData avg_dev Number,1079.5473141960383,0.43583378485405255,0.0076704427207595375,0.07983450294441606,0.5092923891588904,0.0076704427207595375,0.19893244494135534
MagpieData avg_dev AtomicWeight,950.2585512965475,0.44498666379546936,0.0027357220423137353,0.07026498591712842,0.519987961062104,0.0027357220423137353,0.1976628896738487
MagpieData mean GSvolume_pa,351.1403753283547,0.47123514758019613,0.003283725232297366,0.025920284508374226,0.5506605557142108,0.003283725232297366,0.1932881884849608
MagpieData avg_dev NValence,206.880734170202,0.4775854124777492,0.003042369239839089,0.015242673697862055,0.5580811405652675,0.003042369239839089,0.1921220611676562
MagpieData avg_dev NUnfilled,372.35086797934974,0.45440350242419747,0.003357573473638505,0.027490213449056014,0.5309919823431863,0.003357573473638505,0.18727992308862695
MagpieData maximum NValence,290.70662327196203,0.46084731392382583,0.001530966201448114,0.021447182543773348,0.5385218808227965,0.001530966201448114,0.18716667652267263
MagpieData mode Row,2719.401495180801,0.26162341816809853,8.274583089992818e-06,0.20121096409442316,0.305719336887491,8.274583089992818e-06,0.1689795251883347
